customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,MonthlyCharges_Segment,EstimatedCLV,AvgChargesPerMonth,TenureCategory,TotalServices,HasFamily,HighValueCustomer,ContractRisk,PaymentRisk,CustomerSegment,RiskScore,RiskLevel
6827-IEAUQ,Female,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,No,High ($65-95),1786.0500000000002,69.42407407407407,Medium (1-3 years),6,1,0,2,2,Medium-term,10,Low Risk
7310-EGVHZ,Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,No,Low (≤$35),20.2,20.2,New (≤1 year),1,0,0,3,1,Economy New,20,High Risk
3413-BMNZE,Male,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,No,Medium ($35-65),45.25,45.25,New (≤1 year),2,0,0,3,1,Economy New,20,High Risk
6234-RAAPL,Female,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,No,Very High (>$95),7192.8,100.71805555555555,Long-term (>3 years),6,1,1,1,1,Premium Long-term,5,Low Risk
6047-YHPVI,Male,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,Yes,High ($65-95),348.5,63.379999999999995,New (≤1 year),2,0,0,3,3,Economy New,22,High Risk
6572-ADKRS,Female,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,No,High ($65-95),3440.7999999999997,77.13695652173914,Long-term (>3 years),3,0,0,3,1,Economy Long-term,13,Medium Risk
5380-WJKOV,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,Yes,Very High (>$95),3615.8999999999996,104.38970588235294,Medium (1-3 years),6,0,1,3,3,Medium-term,16,Medium Risk
8168-UQWWF,Female,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,Yes,Very High (>$95),1076.35,100.4909090909091,New (≤1 year),5,0,1,3,1,Premium New,15,Medium Risk
8865-TNMNX,Male,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,No,Medium ($35-65),495.5,47.57,New (≤1 year),3,1,0,2,2,Economy New,14,Medium Risk
9489-DEDVP,Female,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,No,High ($65-95),4844.0,69.605,Long-term (>3 years),5,1,0,1,1,Economy Long-term,5,Low Risk
9867-JCZSP,Female,0,Yes,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,No,Low (≤$35),352.75,24.602941176470587,Medium (1-3 years),1,1,0,2,2,Medium-term,14,Medium Risk
4671-VJLCL,Female,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,No,High ($65-95),5030.549999999999,77.16587301587302,Long-term (>3 years),7,0,0,1,1,Economy Long-term,6,Low Risk
4080-IIARD,Female,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,No,High ($65-95),990.6,75.49615384615385,Medium (1-3 years),6,1,0,3,3,Medium-term,16,Medium Risk
3714-NTNFO,Female,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,No,High ($65-95),4140.5,79.72857142857143,Long-term (>3 years),3,0,0,3,3,Economy Long-term,17,Medium Risk
5948-UJZLF,Male,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,No,Medium ($35-65),98.5,48.5,New (≤1 year),3,0,0,3,2,Economy New,20,High Risk
7760-OYPDY,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,Yes,High ($65-95),161.3,72.075,New (≤1 year),3,0,0,3,3,Economy New,22,High Risk
7639-LIAYI,Male,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,No,High ($65-95),4147.0,81.11153846153846,Long-term (>3 years),6,0,0,1,1,Economy Long-term,6,Low Risk
2954-PIBKO,Female,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,No,Medium ($35-65),4426.35,61.6536231884058,Long-term (>3 years),5,1,0,1,1,Economy Long-term,5,Low Risk
8012-SOUDQ,Female,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,No,High ($65-95),3880.75,89.27325581395348,Long-term (>3 years),4,0,1,3,3,Premium Long-term,18,High Risk
9420-LOJKX,Female,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,Yes,Very High (>$95),1486.5,95.09333333333333,Medium (1-3 years),6,0,1,3,1,Medium-term,13,Medium Risk
6575-SUVOI,Female,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,No,High ($65-95),1737.5,70.10600000000001,Medium (1-3 years),5,1,0,3,1,Medium-term,13,Medium Risk
7495-OOKFY,Female,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,Yes,High ($65-95),645.2,79.1625,New (≤1 year),3,1,0,3,1,Economy New,17,Medium Risk
4667-QONEA,Female,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,No,High ($65-95),4491.0,74.27250000000001,Long-term (>3 years),7,1,0,2,1,Economy Long-term,10,Low Risk
1658-BYGOY,Male,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,Yes,Very High (>$95),1718.1000000000001,97.36388888888888,Medium (1-3 years),4,0,1,3,3,Medium-term,19,High Risk
8769-KKTPH,Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,No,Very High (>$95),6277.950000000001,100.17777777777778,Long-term (>3 years),5,1,1,2,1,Premium Long-term,8,Low Risk
5067-XJQFU,Male,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,No,Very High (>$95),7157.7,107.21742424242424,Long-term (>3 years),7,1,1,2,3,Premium Long-term,14,Medium Risk
3957-SQXML,Female,0,Yes,Yes,34,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,No,Low (≤$35),848.3,26.302941176470586,Medium (1-3 years),1,1,0,1,1,Medium-term,8,Low Risk
5954-BDFSG,Female,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,No,Very High (>$95),7740.0,109.07916666666667,Long-term (>3 years),6,0,1,1,1,Premium Long-term,6,Low Risk
0434-CSFON,Female,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,No,Very High (>$95),4723.5,100.15106382978725,Long-term (>3 years),5,1,1,3,3,Premium Long-term,15,Medium Risk
1215-FIGMP,Male,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,No,High ($65-95),5394.0,90.845,Long-term (>3 years),4,0,1,3,1,Premium Long-term,12,Medium Risk
0526-SXDJP,Male,0,Yes,No,72,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,No,Medium ($35-65),3031.2000000000003,41.138888888888886,Long-term (>3 years),4,1,0,1,1,Economy Long-term,5,Low Risk
0557-ASKVU,Female,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,No,Medium ($35-65),979.1999999999999,53.172222222222224,Medium (1-3 years),4,1,0,2,1,Medium-term,9,Low Risk
5698-BQJOH,Female,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,Yes,High ($65-95),849.6,95.25,New (≤1 year),4,0,1,3,3,Premium New,19,High Risk
5122-CYFXA,Female,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,No,High ($65-95),225.89999999999998,81.36666666666666,New (≤1 year),6,0,0,3,3,Economy New,21,High Risk
8627-ZYGSZ,Male,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,No,High ($65-95),3708.3,77.66702127659575,Long-term (>3 years),3,1,0,2,3,Economy Long-term,13,Medium Risk
3410-YOQBQ,Female,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,No,High ($65-95),2455.2000000000003,80.55483870967741,Medium (1-3 years),7,0,0,1,2,Medium-term,8,Low Risk
3170-NMYVV,Female,0,Yes,Yes,50,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,No,Low (≤$35),1007.4999999999999,18.618,Long-term (>3 years),1,1,0,1,1,Economy Long-term,8,Low Risk
7410-OIEDU,Male,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,No,High ($65-95),798.5,88.735,New (≤1 year),4,0,0,3,2,Economy New,17,Medium Risk
2273-QCKXA,Male,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,No,Medium ($35-65),49.05,49.05,New (≤1 year),3,0,0,3,2,Economy New,20,High Risk
0731-EBJQB,Female,0,Yes,Yes,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,No,Low (≤$35),1060.8,20.974038461538463,Long-term (>3 years),1,1,0,2,3,Economy Long-term,15,Medium Risk
1891-QRQSA,Male,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,No,Very High (>$95),7142.4,110.921875,Long-term (>3 years),7,1,1,1,1,Premium Long-term,7,Low Risk
8028-PNXHQ,Male,0,Yes,Yes,62,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,No,Low (≤$35),1503.5,22.97741935483871,Long-term (>3 years),1,1,0,1,1,Economy Long-term,8,Low Risk
5630-AHZIL,Female,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,No,Medium ($35-65),193.5,59.13333333333333,New (≤1 year),5,1,0,3,1,Economy New,16,Medium Risk
2673-CXQEU,Female,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,No,Very High (>$95),6188.0,109.63392857142857,Long-term (>3 years),7,0,1,2,3,Premium Long-term,15,Medium Risk
6416-JNVRK,Female,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,No,Medium ($35-65),2559.9,58.45326086956521,Long-term (>3 years),3,0,0,2,1,Economy Long-term,10,Low Risk
5590-ZSKRV,Female,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,No,Medium ($35-65),437.2,60.28125,New (≤1 year),4,1,0,3,2,Economy New,16,Medium Risk
0191-ZHSKZ,Male,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,No,High ($65-95),2242.5,70.37666666666668,Medium (1-3 years),6,0,0,3,3,Medium-term,18,High Risk
3887-PBQAO,Female,0,Yes,Yes,45,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,No,Low (≤$35),1165.5,27.035555555555554,Long-term (>3 years),1,1,0,2,1,Economy Long-term,11,Low Risk
5919-TMRGD,Female,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,Yes,High ($65-95),79.35,79.35,New (≤1 year),3,1,0,3,3,Economy New,21,High Risk
8108-UXRQN,Female,0,Yes,Yes,11,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,No,Medium ($35-65),556.05,51.39545454545455,New (≤1 year),4,1,0,3,3,Economy New,18,High Risk
9191-MYQKX,Female,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,Yes,High ($65-95),526.0500000000001,70.98571428571428,New (≤1 year),3,1,0,3,1,Economy New,15,Medium Risk
9919-YLNNG,Female,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,No,Very High (>$95),4359.599999999999,103.03571428571429,Long-term (>3 years),7,0,1,3,1,Premium Long-term,12,Medium Risk
0318-ZOPWS,Female,0,Yes,No,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,No,Low (≤$35),987.3499999999999,19.864285714285714,Long-term (>3 years),1,1,0,1,1,Economy Long-term,8,Low Risk
4445-ZJNMU,Male,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,No,Very High (>$95),893.6999999999999,102.08333333333333,New (≤1 year),5,0,1,3,1,Premium New,15,Medium Risk
4808-YNLEU,Female,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,No,Medium ($35-65),2175.25,63.29857142857142,Medium (1-3 years),4,1,0,2,1,Medium-term,8,Low Risk
1862-QRWPE,Female,0,Yes,Yes,48,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,No,Low (≤$35),991.1999999999999,22.020833333333332,Long-term (>3 years),1,1,0,1,1,Economy Long-term,8,Low Risk
2796-NNUFI,Female,0,Yes,Yes,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,No,Low (≤$35),917.6999999999999,20.15434782608696,Long-term (>3 years),1,1,0,1,2,Economy Long-term,10,Low Risk
3016-KSVCP,Male,0,Yes,No,29,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,No,Low (≤$35),978.75,34.80172413793103,Medium (1-3 years),2,1,0,3,2,Medium-term,14,Medium Risk
4767-HZZHQ,Male,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,No,High ($65-95),2461.5,85.67333333333333,Medium (1-3 years),4,1,0,3,1,Medium-term,11,Low Risk
2424-WVHPL,Male,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,No,High ($65-95),74.7,74.7,New (≤1 year),3,0,0,3,3,Economy New,24,High Risk
7233-PAHHL,Male,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,No,High ($65-95),5544.0,86.57954545454545,Long-term (>3 years),7,1,0,1,2,Economy Long-term,7,Low Risk
6067-NGCEU,Female,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,No,Very High (>$95),7218.25,109.33846153846154,Long-term (>3 years),7,0,1,3,1,Premium Long-term,12,Medium Risk
9848-JQJTX,Male,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,No,Very High (>$95),7264.8,103.59791666666666,Long-term (>3 years),6,0,1,1,1,Premium Long-term,6,Low Risk
8637-XJIVR,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,Yes,High ($65-95),947.4000000000001,77.27916666666667,New (≤1 year),3,0,0,3,3,Economy New,20,High Risk
9803-FTJCG,Male,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,No,High ($65-95),4746.349999999999,66.8830985915493,Long-term (>3 years),5,1,0,2,1,Economy Long-term,8,Low Risk
0278-YXOOG,Male,0,No,No,5,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,Yes,Low (≤$35),105.25,22.77,New (≤1 year),1,0,0,3,2,Economy New,22,High Risk
3212-KXOCR,Male,0,No,No,52,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,No,Low (≤$35),1092.0,21.292307692307695,Long-term (>3 years),1,0,0,1,1,Economy Long-term,9,Low Risk
